City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Castro,BR,-24.7911,-50.0119,81.64,52,6,2.91,clear sky
80,Clyde River,CA,70.4692,-68.5914,-23.57,76,0,12.66,haze
81,Srednekolymsk,RU,67.45,153.6833,-33.47,99,18,6.06,few clouds
82,Martapura,ID,-3.4167,114.85,77.09,94,100,1.14,overcast clouds
83,Husavik,IS,66.0449,-17.3389,-4.09,80,71,14.05,broken clouds
84,Dingle,PH,10.9995,122.6711,74.28,93,91,6.38,overcast clouds
85,Puerto Escondido,MX,15.85,-97.0667,86.83,70,75,3.44,broken clouds
86,Labytnangi,RU,66.6572,66.4183,-17.28,100,100,1.97,overcast clouds
87,Saskylakh,RU,71.9167,114.0833,-16.6,86,26,3.22,scattered clouds
88,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,34,7.47,scattered clouds
89,Vestmannaeyjar,IS,63.4427,-20.2734,33.6,74,98,28.48,overcast clouds
90,Thompson,CA,55.7435,-97.8558,-7.44,71,100,8.05,overcast clouds
91,Ribeira Grande,PT,38.5167,-28.7,61.2,59,40,4.61,scattered clouds
92,Viedma,AR,-40.8135,-62.9967,92.39,13,0,7.9,clear sky
93,Takoradi,GH,4.8845,-1.7554,79.52,84,24,8.37,light rain
94,Punta Arenas,CL,-53.15,-70.9167,50.11,50,40,39.12,scattered clouds
95,Codrington,AU,-38.2667,141.9667,59.86,89,61,6.78,broken clouds
96,Capinzal,BR,-27.3436,-51.6119,85.96,49,71,7.58,broken clouds
97,Qurbus,TN,36.8167,10.5687,55.44,82,98,9.93,overcast clouds
98,Bambous Virieux,MU,-20.3428,57.7575,81.21,89,75,6.91,broken clouds
99,Kapaa,US,22.0752,-159.319,75.18,76,40,14.97,scattered clouds
100,Kushima,JP,31.4583,131.2333,53.11,94,100,3.74,light rain
101,Brae,GB,60.3964,-1.353,40.91,88,100,11.25,overcast clouds
102,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,18.41,scattered clouds
103,Kedougou,SN,12.5579,-12.1743,90.18,18,0,2.3,clear sky
104,Nabire,ID,-3.3667,135.4833,75.54,92,100,3.56,overcast clouds
105,Karasburg,NA,-28.0167,18.75,81.05,41,7,8.16,clear sky
106,Lompoc,US,34.6391,-120.4579,84.69,27,0,6.91,clear sky
107,Chuy,UY,-33.6971,-53.4616,72.5,40,1,13.87,clear sky
108,Port Blair,IN,11.6667,92.75,73.44,83,20,3.44,mist
109,Galesong,ID,-5.3166,119.3661,75.22,83,89,5.75,overcast clouds
110,Hamilton,US,39.1834,-84.5333,30.6,55,20,6.91,few clouds
111,Luderitz,NA,-26.6481,15.1594,75.22,62,0,12.1,clear sky
112,Smirnykh,RU,49.75,142.8333,7.2,94,97,5.77,overcast clouds
113,Victoria,HK,22.2855,114.1577,60.33,87,100,5.99,overcast clouds
114,Pisco,PE,-13.7,-76.2167,80.65,50,0,12.66,clear sky
115,Sorong,ID,-0.8833,131.25,77.61,86,100,7.58,overcast clouds
116,Tateyama,JP,34.9833,139.8667,38.01,98,100,28.59,moderate rain
117,Esperance,AU,-33.8667,121.9,58.84,74,0,10.65,clear sky
118,Haines Junction,CA,60.7522,-137.5108,13.95,79,100,0.0,overcast clouds
119,Tiksi,RU,71.6872,128.8694,-12.95,93,11,11.83,few clouds
120,Bonthe,SL,7.5264,-12.505,78.82,84,29,8.32,scattered clouds
121,Beyneu,KZ,45.3167,55.2,31.14,74,100,20.96,overcast clouds
122,Makushino,RU,55.2103,67.2442,2.68,98,99,5.37,overcast clouds
123,Naze,JP,28.3667,129.4833,58.17,90,100,17.76,overcast clouds
124,Filingue,NE,14.3521,3.3168,78.37,9,2,7.07,clear sky
125,Upernavik,GL,72.7868,-56.1549,-6.79,96,100,14.14,overcast clouds
126,Moerai,PF,-22.4333,-151.3333,77.92,75,100,7.38,light rain
127,Gurupi,BR,-11.7292,-49.0686,77.61,88,99,3.74,overcast clouds
128,Binga,ZW,-17.6203,27.3414,74.32,74,6,2.93,clear sky
129,Kahului,US,20.8947,-156.47,76.26,76,40,10.36,scattered clouds
130,Atlantis,ZA,-33.5667,18.4834,67.35,83,0,11.83,clear sky
131,Avarua,CK,-21.2078,-159.775,78.85,83,100,3.44,overcast clouds
132,Mandalgovi,MN,45.7625,106.2708,-6.11,80,77,7.78,broken clouds
133,Vostok,RU,46.4856,135.8833,2.7,98,100,1.19,overcast clouds
134,Xai-Xai,MZ,-25.0519,33.6442,74.71,82,0,8.95,clear sky
135,Tres Picos,MX,15.8667,-93.5333,85.69,52,100,17.09,overcast clouds
136,Seminole,US,28.7086,-81.2081,73.98,79,75,16.11,broken clouds
137,Neiafu,TO,-18.65,-173.9833,81.28,83,40,5.75,scattered clouds
138,Uvalde,US,29.3669,-99.767,62.4,18,0,9.22,clear sky
139,Oksfjord,NO,70.2396,22.3479,20.32,90,75,7.31,broken clouds
140,Calvinia,ZA,-31.4707,19.776,77.99,44,71,4.63,broken clouds
141,Bismarck,US,46.8083,-100.7837,45.88,58,0,13.8,clear sky
142,Portland,US,45.5234,-122.6762,60.94,46,0,5.75,clear sky
143,Hervey Bay,AU,-25.2986,152.8535,68.11,78,13,18.39,few clouds
144,Prattville,US,32.464,-86.4597,51.4,20,0,14.97,clear sky
145,Tukrah,LY,32.5341,20.5791,53.91,76,0,2.48,clear sky
146,Birin,NP,26.8865,88.0718,44.02,80,2,3.94,clear sky
147,San Cristobal,VE,7.7669,-72.225,80.78,36,97,4.59,overcast clouds
148,Nalut,LY,30.3333,10.85,56.73,25,43,11.23,scattered clouds
149,Petatlan,MX,17.5167,-101.2667,89.01,37,100,7.0,overcast clouds
150,Batagay-Alyta,RU,67.8006,130.4114,-9.22,83,100,3.22,overcast clouds
151,Tarnogskiy Gorodok,RU,60.4997,43.5761,10.26,97,94,5.37,overcast clouds
152,Burnie,AU,-41.0667,145.9167,57.94,95,57,4.63,broken clouds
153,Mwinilunga,ZM,-11.7358,24.4293,62.31,96,90,0.69,light rain
154,Ulaangom,MN,49.9811,92.0667,-26.14,98,100,1.72,overcast clouds
155,Puerto Ayora,EC,-0.7393,-90.3518,82.36,87,87,8.01,overcast clouds
156,Kijang,KR,35.2442,129.2139,40.73,80,100,9.19,overcast clouds
